method,seed,condition_id,geometry_variable,geometry_value,sample_count,error_count,error_rate,harmful_flip_count,harmful_flip_rate
hog,not_applicable,clean,occupancy_bin,0.25_to_lt_0.50,73,31,0.4246575342465753,0,not_applicable
hog,not_applicable,clean,occupancy_bin,lt_0.10,24,8,0.3333333333333333,0,not_applicable
hog,not_applicable,clean,occupancy_bin,0.10_to_lt_0.25,63,36,0.5714285714285714,0,not_applicable
hog,not_applicable,clean,occupancy_bin,ge_0.50,2,1,0.5,0,not_applicable
hog,not_applicable,gaussian_blur_mild,occupancy_bin,0.25_to_lt_0.50,73,30,0.410958904109589,1,0.0136986301369863
hog,not_applicable,gaussian_blur_mild,occupancy_bin,lt_0.10,24,9,0.375,1,0.041666666666666664
hog,not_applicable,gaussian_blur_mild,occupancy_bin,0.10_to_lt_0.25,63,35,0.5555555555555556,0,0
hog,not_applicable,gaussian_blur_mild,occupancy_bin,ge_0.50,2,1,0.5,0,0
hog,not_applicable,gaussian_blur_moderate,occupancy_bin,0.25_to_lt_0.50,73,29,0.3972602739726027,3,0.0410958904109589
hog,not_applicable,gaussian_blur_moderate,occupancy_bin,lt_0.10,24,13,0.5416666666666666,5,0.20833333333333334
hog,not_applicable,gaussian_blur_moderate,occupancy_bin,0.10_to_lt_0.25,63,33,0.5238095238095238,5,0.07936507936507936
hog,not_applicable,gaussian_blur_moderate,occupancy_bin,ge_0.50,2,0,0,0,0
hog,not_applicable,gaussian_blur_severe,occupancy_bin,0.25_to_lt_0.50,73,34,0.4657534246575342,9,0.1232876712328767
hog,not_applicable,gaussian_blur_severe,occupancy_bin,lt_0.10,24,14,0.5833333333333334,6,0.25
hog,not_applicable,gaussian_blur_severe,occupancy_bin,0.10_to_lt_0.25,63,34,0.5396825396825397,9,0.14285714285714285
hog,not_applicable,gaussian_blur_severe,occupancy_bin,ge_0.50,2,0,0,0,0
hog,not_applicable,resolution_mild,occupancy_bin,0.25_to_lt_0.50,73,28,0.3835616438356164,1,0.0136986301369863
hog,not_applicable,resolution_mild,occupancy_bin,lt_0.10,24,11,0.4583333333333333,3,0.125
hog,not_applicable,resolution_mild,occupancy_bin,0.10_to_lt_0.25,63,30,0.47619047619047616,0,0
hog,not_applicable,resolution_mild,occupancy_bin,ge_0.50,2,1,0.5,0,0
hog,not_applicable,resolution_moderate,occupancy_bin,0.25_to_lt_0.50,73,30,0.410958904109589,3,0.0410958904109589
hog,not_applicable,resolution_moderate,occupancy_bin,lt_0.10,24,13,0.5416666666666666,5,0.20833333333333334
hog,not_applicable,resolution_moderate,occupancy_bin,0.10_to_lt_0.25,63,27,0.42857142857142855,2,0.031746031746031744
hog,not_applicable,resolution_moderate,occupancy_bin,ge_0.50,2,0,0,0,0
hog,not_applicable,resolution_severe,occupancy_bin,0.25_to_lt_0.50,73,33,0.4520547945205479,7,0.0958904109589041
hog,not_applicable,resolution_severe,occupancy_bin,lt_0.10,24,12,0.5,5,0.20833333333333334
hog,not_applicable,resolution_severe,occupancy_bin,0.10_to_lt_0.25,63,30,0.47619047619047616,4,0.06349206349206349
hog,not_applicable,resolution_severe,occupancy_bin,ge_0.50,2,1,0.5,0,0
hog,not_applicable,brightness_mild,occupancy_bin,0.25_to_lt_0.50,73,31,0.4246575342465753,3,0.0410958904109589
hog,not_applicable,brightness_mild,occupancy_bin,lt_0.10,24,11,0.4583333333333333,3,0.125
hog,not_applicable,brightness_mild,occupancy_bin,0.10_to_lt_0.25,63,33,0.5238095238095238,0,0
hog,not_applicable,brightness_mild,occupancy_bin,ge_0.50,2,1,0.5,0,0
hog,not_applicable,brightness_moderate,occupancy_bin,0.25_to_lt_0.50,73,34,0.4657534246575342,6,0.0821917808219178
hog,not_applicable,brightness_moderate,occupancy_bin,lt_0.10,24,11,0.4583333333333333,3,0.125
hog,not_applicable,brightness_moderate,occupancy_bin,0.10_to_lt_0.25,63,34,0.5396825396825397,3,0.047619047619047616
hog,not_applicable,brightness_moderate,occupancy_bin,ge_0.50,2,1,0.5,0,0
hog,not_applicable,brightness_severe,occupancy_bin,0.25_to_lt_0.50,73,40,0.547945205479452,12,0.1643835616438356
hog,not_applicable,brightness_severe,occupancy_bin,lt_0.10,24,12,0.5,4,0.16666666666666666
hog,not_applicable,brightness_severe,occupancy_bin,0.10_to_lt_0.25,63,33,0.5238095238095238,6,0.09523809523809523
hog,not_applicable,brightness_severe,occupancy_bin,ge_0.50,2,1,0.5,0,0
hog,not_applicable,jpeg_mild,occupancy_bin,0.25_to_lt_0.50,73,33,0.4520547945205479,4,0.0547945205479452
hog,not_applicable,jpeg_mild,occupancy_bin,lt_0.10,24,10,0.4166666666666667,2,0.08333333333333333
hog,not_applicable,jpeg_mild,occupancy_bin,0.10_to_lt_0.25,63,32,0.5079365079365079,1,0.015873015873015872
hog,not_applicable,jpeg_mild,occupancy_bin,ge_0.50,2,1,0.5,0,0
hog,not_applicable,jpeg_moderate,occupancy_bin,0.25_to_lt_0.50,73,33,0.4520547945205479,6,0.0821917808219178
hog,not_applicable,jpeg_moderate,occupancy_bin,lt_0.10,24,9,0.375,2,0.08333333333333333
hog,not_applicable,jpeg_moderate,occupancy_bin,0.10_to_lt_0.25,63,32,0.5079365079365079,4,0.06349206349206349
hog,not_applicable,jpeg_moderate,occupancy_bin,ge_0.50,2,1,0.5,0,0
hog,not_applicable,jpeg_severe,occupancy_bin,0.25_to_lt_0.50,73,45,0.6164383561643836,17,0.2328767123287671
hog,not_applicable,jpeg_severe,occupancy_bin,lt_0.10,24,11,0.4583333333333333,4,0.16666666666666666
hog,not_applicable,jpeg_severe,occupancy_bin,0.10_to_lt_0.25,63,37,0.5873015873015873,7,0.1111111111111111
hog,not_applicable,jpeg_severe,occupancy_bin,ge_0.50,2,1,0.5,0,0
